Date,Warehouse_Location,Material_ID,Material_Name,Category,Supplier_Name,Forecasted_Demand,Actual_Consumption,Safety_Stock,Reorder_Level,Current_Stock,Lead_Time_Days,Unit_Cost,Inventory_Value (PKR),Reorder_Flag
10/30/2024,Karachi Central,M0015,Material_088,Semi-Finished,Beta Corp,292,236,75,111,0,7,148.09,0.0,Yes
11/07/2024,Karachi Central,M0080,Material_044,Finished Good,Beta Corp,196,203,60,130,106,3,81.76,8666.56,Yes
10/02/2024,Lahore South,M0027,Material_077,Raw Material,Gamma Traders,87,48,45,118,59,2,140.8,8307.2,Yes
12/03/2024,Karachi Central,M0072,Material_022,Finished Good,Delta Supplies,119,105,40,74,113,3,83.18,9399.34,No
11/29/2024,Lahore South,M0060,Material_043,Raw Material,Beta Corp,165,188,43,78,0,2,50.82,0.0,Yes
10/21/2024,Faisalabad Hub,M0046,Material_037,Raw Material,Beta Corp,288,295,50,84,175,11,47.37,8289.75,No
11/02/2024,Faisalabad Hub,M0089,Material_061,Raw Material,Delta Supplies,128,80,83,159,140,11,140.13,19618.2,Yes
12/15/2024,Islamabad East,M0017,Material_097,Raw Material,Beta Corp,234,230,65,118,79,10,34.14,2697.06,Yes
11/27/2024,Faisalabad Hub,M0093,Material_056,Semi-Finished,Delta Supplies,197,232,76,106,0,11,91.15,0.0,Yes
10/22/2024,Lahore South,M0053,Material_003,Raw Material,Delta Supplies,58,78,62,82,161,13,87.77,14130.97,No
12/28/2024,Faisalabad Hub,M0008,Material_063,Raw Material,Gamma Traders,81,52,68,102,107,14,113.55,12149.85,No
11/18/2024,Islamabad East,M0079,Material_019,Finished Good,Alpha Ltd,181,126,60,105,151,9,79.89,12063.39,No
11/28/2024,Karachi Central,M0027,Material_023,Finished Good,Delta Supplies,99,92,87,157,229,8,48.12,11019.48,No
11/11/2024,Lahore South,M0046,Material_029,Finished Good,Gamma Traders,131,133,84,107,206,4,33.72,6946.32,No
11/29/2024,Karachi Central,M0050,Material_030,Finished Good,Alpha Ltd,54,64,84,146,78,9,96.91,7558.98,Yes
12/19/2024,Islamabad East,M0071,Material_039,Semi-Finished,Beta Corp,197,228,88,112,201,3,110.66,22242.66,No
10/15/2024,Islamabad East,M0003,Material_025,Raw Material,Alpha Ltd,136,147,66,120,232,3,89.73,20817.36,No
12/01/2024,Islamabad East,M0093,Material_008,Raw Material,Delta Supplies,175,198,78,110,148,12,113.37,16778.76,No
12/01/2024,Karachi Central,M0064,Material_058,Semi-Finished,Delta Supplies,124,105,79,108,247,11,29.81,7363.07,No
11/16/2024,Karachi Central,M0044,Material_016,Raw Material,Delta Supplies,214,167,52,82,0,4,133.55,0.0,Yes
12/01/2024,Karachi Central,M0053,Material_072,Semi-Finished,Delta Supplies,71,39,62,99,0,8,91.54,0.0,Yes
11/20/2024,Karachi Central,M0024,Material_001,Raw Material,Delta Supplies,235,181,98,151,115,2,27.76,3192.4,Yes
11/24/2024,Islamabad East,M0060,Material_005,Raw Material,Gamma Traders,117,143,55,113,172,9,74.67,12843.24,No
12/03/2024,Islamabad East,M0003,Material_003,Packaging,Delta Supplies,270,307,69,129,19,13,128.27,2437.13,Yes
10/03/2024,Lahore South,M0020,Material_065,Semi-Finished,Gamma Traders,93,71,43,104,126,8,135.66,17093.16,No
11/20/2024,Lahore South,M0046,Material_004,Packaging,Beta Corp,83,84,79,148,231,5,47.05,10868.55,No
10/07/2024,Karachi Central,M0015,Material_099,Semi-Finished,Delta Supplies,126,158,55,97,227,6,109.58,24874.66,No
10/21/2024,Faisalabad Hub,M0025,Material_096,Raw Material,Delta Supplies,91,123,70,96,23,11,24.0,552.0,Yes
12/12/2024,Faisalabad Hub,M0094,Material_064,Raw Material,Alpha Ltd,186,201,92,170,127,14,14.7,1866.9,Yes
11/08/2024,Islamabad East,M0078,Material_098,Finished Good,Beta Corp,155,192,81,139,269,2,88.46,23795.74,No
10/18/2024,Islamabad East,M0071,Material_089,Semi-Finished,Delta Supplies,144,104,64,86,0,5,107.28,0.0,Yes
10/04/2024,Islamabad East,M0017,Material_010,Raw Material,Delta Supplies,184,209,83,114,82,2,121.41,9955.62,Yes
12/28/2024,Lahore South,M0084,Material_021,Finished Good,Beta Corp,117,143,51,77,0,2,57.63,0.0,Yes
11/29/2024,Lahore South,M0100,Material_046,Raw Material,Gamma Traders,196,138,65,133,86,11,10.91,938.26,Yes
10/14/2024,Islamabad East,M0009,Material_091,Packaging,Delta Supplies,283,272,76,121,44,2,77.13,3393.72,Yes
10/09/2024,Islamabad East,M0038,Material_027,Raw Material,Alpha Ltd,271,243,87,139,179,8,12.22,2187.38,No
12/29/2024,Islamabad East,M0048,Material_066,Semi-Finished,Delta Supplies,208,244,72,128,124,8,22.88,2837.12,Yes
11/22/2024,Faisalabad Hub,M0060,Material_041,Semi-Finished,Alpha Ltd,177,198,67,134,238,5,55.74,13266.12,No
10/02/2024,Lahore South,M0063,Material_013,Raw Material,Alpha Ltd,212,174,48,82,215,14,71.2,15308.0,No
12/23/2024,Faisalabad Hub,M0086,Material_009,Finished Good,Delta Supplies,234,257,51,72,134,13,49.13,6583.42,No
11/29/2024,Faisalabad Hub,M0002,Material_036,Packaging,Delta Supplies,134,173,44,104,76,3,91.46,6950.96,Yes
12/10/2024,Islamabad East,M0088,Material_086,Raw Material,Alpha Ltd,238,186,93,119,174,13,17.75,3088.5,No
11/13/2024,Islamabad East,M0072,Material_090,Raw Material,Beta Corp,208,236,91,142,231,4,30.24,6985.44,No
10/08/2024,Karachi Central,M0011,Material_058,Raw Material,Beta Corp,132,169,93,116,251,9,107.34,26942.34,No
11/16/2024,Karachi Central,M0064,Material_054,Raw Material,Delta Supplies,144,143,67,106,0,14,29.9,0.0,Yes
11/04/2024,Faisalabad Hub,M0077,Material_012,Packaging,Gamma Traders,230,197,95,164,272,9,99.57,27083.04,No
12/17/2024,Lahore South,M0081,Material_081,Finished Good,Beta Corp,81,61,74,146,100,12,17.66,1766.0,Yes
12/20/2024,Islamabad East,M0072,Material_078,Packaging,Delta Supplies,115,61,44,99,206,12,67.03,13808.18,No
11/05/2024,Islamabad East,M0021,Material_014,Raw Material,Beta Corp,236,269,73,124,177,7,34.84,6166.68,No
11/19/2024,Faisalabad Hub,M0018,Material_034,Raw Material,Gamma Traders,165,139,85,132,243,11,25.35,6160.05,No
10/04/2024,Karachi Central,M0094,Material_053,Raw Material,Delta Supplies,187,165,73,105,61,10,89.38,5452.18,Yes
10/02/2024,Lahore South,M0064,Material_020,Packaging,Gamma Traders,179,211,52,72,172,12,139.97,24074.84,No
10/06/2024,Karachi Central,M0082,Material_075,Semi-Finished,Delta Supplies,243,190,78,157,227,13,17.67,4011.09,No
11/23/2024,Karachi Central,M0095,Material_016,Raw Material,Gamma Traders,109,139,81,156,227,10,69.02,15667.54,No
10/04/2024,Karachi Central,M0038,Material_095,Semi-Finished,Beta Corp,265,207,84,138,245,5,109.05,26717.25,No
11/23/2024,Karachi Central,M0032,Material_070,Finished Good,Beta Corp,66,65,87,154,204,13,74.78,15255.12,No
12/02/2024,Islamabad East,M0011,Material_056,Packaging,Gamma Traders,145,173,97,146,253,2,122.91,31096.23,No
10/18/2024,Islamabad East,M0045,Material_083,Finished Good,Gamma Traders,193,198,53,126,200,2,35.15,7030.0,No
12/29/2024,Karachi Central,M0089,Material_058,Packaging,Gamma Traders,65,93,50,105,156,13,144.34,22517.04,No
11/13/2024,Lahore South,M0033,Material_004,Semi-Finished,Delta Supplies,95,124,81,157,232,11,63.92,14829.44,No
11/03/2024,Faisalabad Hub,M0041,Material_004,Packaging,Beta Corp,216,220,77,151,236,6,57.82,13645.52,No
12/13/2024,Lahore South,M0008,Material_020,Packaging,Delta Supplies,294,261,43,87,119,14,132.44,15760.36,No
12/01/2024,Lahore South,M0011,Material_010,Raw Material,Beta Corp,208,176,92,127,176,3,88.94,15653.44,No
10/14/2024,Lahore South,M0086,Material_024,Raw Material,Alpha Ltd,156,145,72,149,244,7,82.3,20081.2,No
11/17/2024,Karachi Central,M0051,Material_099,Raw Material,Delta Supplies,137,107,46,84,44,8,111.78,4918.32,Yes
10/15/2024,Islamabad East,M0088,Material_026,Packaging,Beta Corp,178,217,95,115,0,2,91.18,0.0,Yes
12/11/2024,Lahore South,M0041,Material_037,Raw Material,Beta Corp,188,173,80,104,189,7,32.75,6189.75,No
12/17/2024,Karachi Central,M0017,Material_085,Finished Good,Delta Supplies,168,149,47,117,93,9,104.39,9708.27,Yes
12/26/2024,Lahore South,M0076,Material_054,Semi-Finished,Delta Supplies,134,152,76,117,70,13,28.69,2008.3,Yes
12/01/2024,Lahore South,M0046,Material_021,Packaging,Beta Corp,53,54,90,133,219,6,122.82,26897.58,No
11/09/2024,Karachi Central,M0032,Material_074,Raw Material,Delta Supplies,120,97,49,111,115,13,148.56,17084.4,No
12/24/2024,Islamabad East,M0079,Material_038,Finished Good,Gamma Traders,203,159,82,146,252,8,62.83,15833.16,No
12/19/2024,Islamabad East,M0080,Material_046,Finished Good,Delta Supplies,160,178,96,167,251,11,72.27,18139.77,No
12/21/2024,Faisalabad Hub,M0054,Material_004,Semi-Finished,Delta Supplies,99,111,54,110,248,7,16.5,4092.0,No
11/22/2024,Karachi Central,M0086,Material_060,Raw Material,Delta Supplies,189,152,77,149,38,5,11.92,452.96,Yes
10/24/2024,Faisalabad Hub,M0092,Material_057,Packaging,Beta Corp,144,95,54,109,246,8,139.0,34194.0,No
10/26/2024,Faisalabad Hub,M0020,Material_045,Raw Material,Gamma Traders,258,248,44,99,145,11,28.01,4061.45,No
12/28/2024,Faisalabad Hub,M0033,Material_020,Raw Material,Alpha Ltd,274,246,68,91,213,10,72.41,15423.33,No
11/29/2024,Islamabad East,M0074,Material_017,Semi-Finished,Alpha Ltd,252,198,58,113,226,11,124.15,28057.9,No
11/10/2024,Karachi Central,M0040,Material_071,Semi-Finished,Gamma Traders,141,93,93,164,70,11,134.5,9415.0,Yes
10/29/2024,Faisalabad Hub,M0032,Material_004,Packaging,Gamma Traders,273,283,90,162,309,14,82.72,25560.48,No
10/15/2024,Karachi Central,M0097,Material_093,Finished Good,Gamma Traders,114,105,49,86,33,8,89.1,2940.3,Yes
11/14/2024,Karachi Central,M0002,Material_014,Packaging,Beta Corp,96,117,51,120,106,13,103.76,10998.56,Yes
12/04/2024,Islamabad East,M0097,Material_003,Packaging,Alpha Ltd,269,255,93,128,64,6,144.59,9253.76,Yes
12/28/2024,Faisalabad Hub,M0033,Material_088,Raw Material,Gamma Traders,230,190,43,103,194,8,94.37,18307.78,No
12/10/2024,Faisalabad Hub,M0077,Material_080,Finished Good,Beta Corp,155,194,70,107,155,4,88.33,13691.15,No
10/09/2024,Karachi Central,M0030,Material_058,Raw Material,Alpha Ltd,248,264,57,98,31,3,12.03,372.93,Yes
12/27/2024,Lahore South,M0033,Material_055,Finished Good,Delta Supplies,179,207,55,76,167,12,21.33,3562.11,No
10/01/2024,Islamabad East,M0077,Material_004,Finished Good,Beta Corp,155,104,79,119,249,6,90.8,22609.2,No
10/08/2024,Islamabad East,M0026,Material_024,Raw Material,Alpha Ltd,73,44,75,130,231,5,141.07,32587.17,No
12/27/2024,Islamabad East,M0022,Material_034,Packaging,Beta Corp,53,27,64,127,166,6,131.34,21802.44,No
12/02/2024,Islamabad East,M0066,Material_030,Finished Good,Alpha Ltd,157,140,62,120,121,9,147.56,17854.76,No
10/11/2024,Faisalabad Hub,M0038,Material_082,Packaging,Alpha Ltd,68,10,51,117,244,13,83.9,20471.6,No
12/20/2024,Faisalabad Hub,M0090,Material_019,Finished Good,Delta Supplies,203,162,73,131,119,5,120.31,14316.89,Yes
10/08/2024,Lahore South,M0046,Material_031,Finished Good,Beta Corp,252,218,75,123,148,10,127.66,18893.68,No
11/04/2024,Islamabad East,M0015,Material_060,Packaging,Gamma Traders,89,46,76,149,6,8,100.72,604.32,Yes
11/04/2024,Islamabad East,M0098,Material_060,Raw Material,Delta Supplies,99,76,42,87,231,11,57.42,13264.02,No
11/02/2024,Karachi Central,M0044,Material_019,Finished Good,Delta Supplies,220,192,48,88,172,14,75.8,13037.6,No
10/05/2024,Faisalabad Hub,M0049,Material_049,Semi-Finished,Alpha Ltd,124,82,92,128,140,13,130.11,18215.4,No
11/10/2024,Islamabad East,M0075,Material_063,Raw Material,Gamma Traders,286,241,57,92,0,8,51.8,0.0,Yes
10/28/2024,Lahore South,M0061,Material_083,Raw Material,Beta Corp,244,226,82,161,48,14,139.32,6687.36,Yes
10/07/2024,Lahore South,M0067,Material_022,Packaging,Gamma Traders,61,42,74,124,109,14,42.17,4596.53,Yes
12/12/2024,Faisalabad Hub,M0006,Material_024,Finished Good,Gamma Traders,244,202,96,166,234,9,114.93,26893.62,No
12/11/2024,Lahore South,M0009,Material_076,Finished Good,Gamma Traders,283,262,94,122,267,13,98.28,26240.76,No
10/12/2024,Lahore South,M0006,Material_030,Semi-Finished,Gamma Traders,76,101,73,123,6,7,114.94,689.64,Yes
11/03/2024,Faisalabad Hub,M0073,Material_058,Raw Material,Gamma Traders,162,115,80,113,41,9,71.23,2920.43,Yes
11/02/2024,Islamabad East,M0095,Material_031,Raw Material,Alpha Ltd,231,204,53,121,206,4,140.57,28957.42,No
11/17/2024,Islamabad East,M0032,Material_100,Finished Good,Alpha Ltd,243,269,43,99,221,11,98.55,21779.55,No
10/23/2024,Lahore South,M0041,Material_064,Raw Material,Delta Supplies,98,50,68,89,99,11,50.36,4985.64,No
12/01/2024,Lahore South,M0076,Material_019,Raw Material,Alpha Ltd,193,179,80,151,175,2,99.38,17391.5,No
12/27/2024,Islamabad East,M0008,Material_048,Raw Material,Delta Supplies,179,185,84,151,221,7,50.15,11083.15,No
11/06/2024,Faisalabad Hub,M0072,Material_045,Semi-Finished,Delta Supplies,109,95,89,154,12,2,51.11,613.32,Yes
11/13/2024,Lahore South,M0050,Material_100,Finished Good,Beta Corp,231,258,54,87,225,10,65.94,14836.5,No
12/25/2024,Karachi Central,M0092,Material_094,Raw Material,Gamma Traders,79,71,67,145,107,3,129.34,13839.38,Yes
11/04/2024,Faisalabad Hub,M0062,Material_055,Packaging,Alpha Ltd,133,91,81,133,187,12,80.04,14967.48,No
12/04/2024,Lahore South,M0084,Material_055,Semi-Finished,Beta Corp,215,156,55,109,144,3,105.05,15127.2,No
11/16/2024,Lahore South,M0062,Material_097,Finished Good,Alpha Ltd,77,111,51,128,174,8,64.88,11289.12,No
12/17/2024,Karachi Central,M0007,Material_018,Raw Material,Delta Supplies,74,85,91,149,264,3,46.9,12381.6,No
10/03/2024,Karachi Central,M0075,Material_063,Packaging,Alpha Ltd,145,103,44,121,232,11,143.65,33326.8,No
10/01/2024,Islamabad East,M0084,Material_092,Raw Material,Gamma Traders,174,166,73,139,236,9,94.5,22302.0,No
10/05/2024,Faisalabad Hub,M0080,Material_047,Finished Good,Delta Supplies,59,11,81,151,115,7,140.75,16186.25,Yes
12/29/2024,Faisalabad Hub,M0004,Material_075,Packaging,Delta Supplies,237,262,40,79,49,8,38.48,1885.52,Yes
10/14/2024,Islamabad East,M0006,Material_057,Raw Material,Beta Corp,91,81,78,99,89,8,30.57,2720.73,Yes
10/27/2024,Faisalabad Hub,M0058,Material_045,Semi-Finished,Gamma Traders,89,58,71,141,55,7,129.82,7140.1,Yes
10/09/2024,Faisalabad Hub,M0022,Material_033,Semi-Finished,Delta Supplies,274,233,65,125,250,11,105.33,26332.5,No
12/18/2024,Faisalabad Hub,M0026,Material_017,Raw Material,Gamma Traders,126,75,56,94,182,12,36.12,6573.84,No
10/15/2024,Faisalabad Hub,M0003,Material_070,Finished Good,Alpha Ltd,297,258,87,165,24,10,47.71,1145.04,Yes
12/29/2024,Faisalabad Hub,M0041,Material_004,Raw Material,Gamma Traders,154,112,98,154,236,14,122.09,28813.24,No
11/11/2024,Karachi Central,M0060,Material_020,Packaging,Delta Supplies,167,166,66,103,147,10,73.54,10810.38,No
12/16/2024,Faisalabad Hub,M0014,Material_047,Packaging,Beta Corp,91,115,63,98,0,8,103.88,0.0,Yes
11/20/2024,Karachi Central,M0075,Material_091,Semi-Finished,Delta Supplies,96,74,74,97,123,10,54.57,6712.11,No
12/02/2024,Faisalabad Hub,M0082,Material_015,Raw Material,Gamma Traders,214,210,85,116,142,14,63.37,8998.54,No
11/21/2024,Islamabad East,M0012,Material_070,Finished Good,Gamma Traders,295,259,81,129,195,11,148.7,28996.5,No
10/04/2024,Lahore South,M0087,Material_047,Semi-Finished,Delta Supplies,257,291,93,119,0,4,44.67,0.0,Yes
10/23/2024,Karachi Central,M0012,Material_078,Semi-Finished,Gamma Traders,286,300,78,111,78,4,80.9,6310.2,Yes
10/15/2024,Faisalabad Hub,M0013,Material_075,Semi-Finished,Alpha Ltd,71,102,65,139,152,2,128.22,19489.44,No
11/12/2024,Islamabad East,M0025,Material_009,Semi-Finished,Delta Supplies,234,241,88,119,7,6,43.49,304.43,Yes
10/29/2024,Lahore South,M0045,Material_090,Raw Material,Beta Corp,261,266,77,131,33,5,68.13,2248.29,Yes
11/05/2024,Karachi Central,M0019,Material_016,Raw Material,Delta Supplies,291,307,62,86,153,3,96.11,14704.83,No
10/13/2024,Lahore South,M0055,Material_069,Finished Good,Alpha Ltd,156,191,61,97,152,10,77.37,11760.24,No
11/01/2024,Islamabad East,M0100,Material_061,Raw Material,Alpha Ltd,76,93,43,120,25,4,74.33,1858.25,Yes
12/10/2024,Karachi Central,M0045,Material_010,Semi-Finished,Alpha Ltd,90,113,88,149,116,9,60.75,7047.0,Yes
11/28/2024,Lahore South,M0008,Material_050,Finished Good,Alpha Ltd,129,83,98,149,251,7,92.13,23124.63,No
12/25/2024,Faisalabad Hub,M0093,Material_003,Raw Material,Alpha Ltd,211,246,48,77,212,14,97.41,20650.92,No
10/28/2024,Karachi Central,M0053,Material_077,Semi-Finished,Beta Corp,209,221,43,105,222,6,101.46,22524.12,No
12/05/2024,Lahore South,M0055,Material_094,Packaging,Gamma Traders,267,283,46,82,222,2,19.85,4406.7,No
11/11/2024,Islamabad East,M0032,Material_070,Packaging,Alpha Ltd,138,124,62,86,115,5,98.34,11309.1,No
11/14/2024,Islamabad East,M0051,Material_081,Raw Material,Alpha Ltd,115,75,41,105,189,4,143.45,27112.05,No
12/01/2024,Karachi Central,M0044,Material_051,Raw Material,Delta Supplies,61,56,88,149,194,2,85.74,16633.56,No
11/26/2024,Lahore South,M0082,Material_019,Semi-Finished,Beta Corp,217,234,63,91,20,13,110.14,2202.8,Yes
10/06/2024,Karachi Central,M0070,Material_042,Finished Good,Beta Corp,122,88,79,147,131,6,87.94,11520.14,Yes
10/28/2024,Karachi Central,M0018,Material_035,Semi-Finished,Gamma Traders,125,140,94,146,17,7,129.66,2204.22,Yes
10/28/2024,Lahore South,M0083,Material_046,Packaging,Beta Corp,139,82,70,125,199,3,140.14,27887.86,No
11/13/2024,Lahore South,M0022,Material_026,Raw Material,Delta Supplies,250,263,86,141,48,4,35.79,1717.92,Yes
12/23/2024,Faisalabad Hub,M0037,Material_069,Semi-Finished,Delta Supplies,59,97,70,107,49,12,71.16,3486.84,Yes
10/30/2024,Lahore South,M0096,Material_093,Raw Material,Gamma Traders,145,111,86,114,155,7,64.93,10064.15,No
12/01/2024,Islamabad East,M0056,Material_064,Finished Good,Delta Supplies,298,301,79,155,107,5,66.73,7140.11,Yes
12/14/2024,Karachi Central,M0059,Material_037,Finished Good,Alpha Ltd,275,255,87,135,0,10,27.57,0.0,Yes
12/28/2024,Karachi Central,M0003,Material_084,Semi-Finished,Alpha Ltd,225,188,90,159,136,6,123.91,16851.76,Yes
12/01/2024,Islamabad East,M0028,Material_049,Finished Good,Delta Supplies,69,59,82,115,19,5,15.01,285.19,Yes
10/01/2024,Lahore South,M0074,Material_021,Raw Material,Gamma Traders,88,39,73,117,197,3,83.95,16538.15,No
10/27/2024,Islamabad East,M0035,Material_074,Semi-Finished,Beta Corp,109,102,94,128,39,7,102.66,4003.74,Yes
12/01/2024,Islamabad East,M0061,Material_064,Raw Material,Gamma Traders,115,135,63,88,177,11,39.05,6911.85,No
12/16/2024,Faisalabad Hub,M0093,Material_005,Finished Good,Beta Corp,114,101,88,163,102,3,136.82,13955.64,Yes
10/03/2024,Islamabad East,M0054,Material_100,Raw Material,Delta Supplies,228,213,99,160,241,13,127.4,30703.4,No
12/09/2024,Karachi Central,M0063,Material_070,Semi-Finished,Delta Supplies,173,120,65,113,195,14,75.95,14810.25,No
12/11/2024,Islamabad East,M0079,Material_090,Finished Good,Alpha Ltd,213,195,55,89,230,8,67.56,15538.8,No
10/27/2024,Karachi Central,M0097,Material_004,Raw Material,Beta Corp,201,170,96,144,145,4,43.12,6252.4,No
10/09/2024,Karachi Central,M0007,Material_039,Raw Material,Gamma Traders,295,285,86,109,103,10,112.2,11556.6,Yes
12/01/2024,Karachi Central,M0076,Material_035,Semi-Finished,Delta Supplies,204,225,52,89,68,12,28.44,1933.92,Yes
11/06/2024,Lahore South,M0049,Material_001,Packaging,Gamma Traders,179,124,54,123,113,6,105.23,11890.99,Yes
11/20/2024,Faisalabad Hub,M0094,Material_024,Raw Material,Alpha Ltd,208,163,66,142,84,9,127.94,10746.96,Yes
11/13/2024,Karachi Central,M0085,Material_057,Raw Material,Beta Corp,106,88,43,111,74,12,41.99,3107.26,Yes
10/24/2024,Karachi Central,M0031,Material_100,Raw Material,Beta Corp,127,97,55,118,251,7,131.3,32956.3,No
12/18/2024,Lahore South,M0058,Material_070,Finished Good,Delta Supplies,243,275,69,127,119,13,14.67,1745.73,Yes
11/28/2024,Karachi Central,M0061,Material_041,Packaging,Beta Corp,78,118,83,118,190,11,137.79,26180.1,No
11/01/2024,Islamabad East,M0024,Material_054,Raw Material,Delta Supplies,64,76,69,99,180,9,26.57,4782.6,No
12/27/2024,Islamabad East,M0020,Material_046,Raw Material,Alpha Ltd,61,39,75,108,0,14,100.41,0.0,Yes
11/21/2024,Faisalabad Hub,M0037,Material_060,Raw Material,Beta Corp,150,119,42,64,189,14,45.01,8506.89,No
12/01/2024,Karachi Central,M0004,Material_060,Raw Material,Delta Supplies,205,190,61,131,150,12,127.12,19068.0,No
11/27/2024,Lahore South,M0092,Material_057,Packaging,Gamma Traders,133,106,88,157,146,13,81.72,11931.12,Yes
11/21/2024,Islamabad East,M0020,Material_031,Raw Material,Delta Supplies,174,180,61,122,172,4,28.93,4975.96,No
10/12/2024,Lahore South,M0060,Material_084,Raw Material,Beta Corp,152,190,89,146,18,4,89.94,1618.92,Yes
11/08/2024,Lahore South,M0024,Material_024,Semi-Finished,Alpha Ltd,73,107,96,160,233,6,67.1,15634.3,No
10/02/2024,Islamabad East,M0050,Material_089,Raw Material,Beta Corp,198,212,89,150,269,12,102.6,27599.4,No
10/03/2024,Lahore South,M0049,Material_036,Semi-Finished,Beta Corp,187,227,94,131,133,11,133.47,17751.51,No
11/25/2024,Islamabad East,M0051,Material_085,Packaging,Delta Supplies,159,109,99,176,110,4,67.31,7404.1,Yes
12/20/2024,Lahore South,M0096,Material_030,Packaging,Gamma Traders,127,88,88,127,85,9,50.58,4299.3,Yes
11/28/2024,Islamabad East,M0036,Material_024,Semi-Finished,Beta Corp,150,120,51,128,8,11,12.03,96.24,Yes
10/02/2024,Karachi Central,M0098,Material_030,Packaging,Gamma Traders,195,192,94,161,239,14,90.48,21624.72,No
10/02/2024,Faisalabad Hub,M0100,Material_086,Finished Good,Delta Supplies,265,219,60,104,193,13,66.32,12799.76,No
11/23/2024,Islamabad East,M0066,Material_092,Semi-Finished,Gamma Traders,191,191,95,171,161,9,62.45,10054.45,Yes
12/26/2024,Islamabad East,M0079,Material_007,Packaging,Delta Supplies,211,177,43,100,105,3,35.61,3739.05,No
10/01/2024,Faisalabad Hub,M0034,Material_035,Finished Good,Alpha Ltd,177,176,70,102,250,13,70.21,17552.5,No
10/19/2024,Islamabad East,M0036,Material_055,Semi-Finished,Gamma Traders,107,115,83,106,54,5,147.82,7982.28,Yes
10/02/2024,Islamabad East,M0006,Material_092,Raw Material,Gamma Traders,125,116,70,144,40,11,51.69,2067.6,Yes
11/22/2024,Lahore South,M0039,Material_014,Raw Material,Alpha Ltd,199,177,97,130,46,14,93.96,4322.16,Yes
11/13/2024,Faisalabad Hub,M0042,Material_010,Raw Material,Gamma Traders,297,238,62,114,25,2,118.71,2967.75,Yes
12/29/2024,Karachi Central,M0058,Material_080,Finished Good,Alpha Ltd,247,251,93,140,98,5,114.88,11258.24,Yes
11/01/2024,Islamabad East,M0012,Material_016,Semi-Finished,Beta Corp,85,67,92,163,179,13,56.03,10029.37,No
12/09/2024,Faisalabad Hub,M0003,Material_054,Finished Good,Delta Supplies,222,182,59,115,1,14,95.52,95.52,Yes
11/01/2024,Lahore South,M0018,Material_095,Semi-Finished,Alpha Ltd,213,155,54,81,49,14,131.98,6467.02,Yes
12/07/2024,Karachi Central,M0040,Material_089,Packaging,Gamma Traders,71,64,62,125,60,12,12.16,729.6,Yes
11/24/2024,Faisalabad Hub,M0021,Material_077,Raw Material,Alpha Ltd,255,291,67,120,21,14,71.0,1491.0,Yes
12/14/2024,Karachi Central,M0015,Material_070,Semi-Finished,Gamma Traders,176,169,55,118,58,5,41.4,2401.2,Yes
11/25/2024,Karachi Central,M0097,Material_044,Packaging,Beta Corp,129,74,76,100,238,11,64.41,15329.58,No
10/17/2024,Karachi Central,M0099,Material_073,Finished Good,Alpha Ltd,238,276,60,133,280,10,68.24,19107.2,No
11/07/2024,Islamabad East,M0026,Material_045,Raw Material,Beta Corp,149,143,54,78,131,4,114.53,15003.43,No
