,Project Code,PQ #,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
58,109-TZ-T01,Pre-PQ Process,SCMS-23610,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/15/2008,02-09-08,02-09-08,02-09-08,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,400mg,Delayed-release capsules - blister,30,2597,61470.99,23.67,0.79,"BMS Meymac, France",Yes,117,645.1,98.35
62,108-VN-T01,Pre-PQ Process,SCMS-26180,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,07-01-08,19-09-08,19-09-08,19-09-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,38640,92736,2.4,0.04,"Aurobindo Unit III, India",Yes,2719,18614.72,148.38
63,112-NG-T01,Pre-PQ Process,SCMS-26560,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,07-02-08,25-02-09,09-09-08,09-09-08,ACT,ACT,IDA FOUNDATION,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Artemether/Lumefantrine,Coartem,20/120mg,Tablet - FDC + blister,540,34,1547.68,45.52,0.08,"Novartis Pharma AG, Switzerland",Yes,115,1755.87,2.48
64,108-VN-T01,Pre-PQ Process,SCMS-26200,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,07-03-08,08-10-08,08-10-08,08-10-08,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,42000,60900,1.45,0.02,"Aurobindo Unit III, India",Yes,2600,10179.16,97.44
66,108-VN-T01,Pre-PQ Process,SCMS-27360,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008,27-11-08,27-11-08,27-11-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,16800,171192,10.19,0.34,Mylan (formerly Matrix) Nashik,Yes,1224,4686.88,335.54
71,104-CI-T01,Pre-PQ Process,SCMS-29340,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,09-03-08,23-01-09,23-01-09,23-01-09,ACT,ACT,IDA FOUNDATION,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",Artesunate+Amodiaquine,Generic,50+153mg,Tablet - FDC + co-blister,12,25000,9750,0.39,0.03,Ipca Dadra/Nagar Haveli IN,Yes,1708,12830.91,19.11
82,109-TZ-T01,Pre-PQ Process,SCMS-34680,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/19/2008,21-04-09,21-04-09,21-04-09,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,600/200/300mg,Tablet - FDC,30,50000,2520000,50.4,1.68,"MSD, Haarlem, NL",Yes,4093,9339,4939.2
83,104-CI-T01,Pre-PQ Process,SCMS-35790,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/19/2008,02-03-09,02-03-09,02-03-09,ANTM,Malaria,IDA FOUNDATION,"Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules",Quinine (as dihydrochloride),Generic,600mg/2ml,Injection,100,140,2731.4,19.51,0.2,Gland Pharma Ltd Pally Factory,Yes,5209,25405.22,5.35
85,108-VN-T01,Pre-PQ Process,SCMS-37170,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009,10-04-09,10-04-09,10-04-09,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,5964,51350.04,8.61,0.14,"Aurobindo Unit III, India",Yes,3509,12835.2,100.65
87,108-VN-T01,Pre-PQ Process,SCMS-37180,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009,23-03-09,23-03-09,23-03-09,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,10560,72864,6.9,0.12,"Cipla, Goa, India",Yes,924,4225.93,142.81
88,108-VN-T01,Pre-PQ Process,SCMS-31721,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/21/2008,16-03-09,16-03-09,16-03-09,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,2352,20250.72,8.61,0.14,"Aurobindo Unit III, India",Yes,211,892.5,39.69
89,109-TZ-T01,Pre-PQ Process,SCMS-38370,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,02-05-09,28-05-09,28-05-09,28-05-09,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,524,21536.4,41.1,0.14,ABBVIE (Abbott) Logis. UK,Yes,644,6668.61,42.21
92,123-NG-T01,Pre-PQ Process,SCMS-39640,Nigeria,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,03-04-09,30-09-09,30-09-09,30-09-09,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,400mg,Delayed-release capsules - blister,30,200,4734,23.67,0.79,"BMS Meymac, France",Yes,11,463,9.28
93,106-HT-T01,Pre-PQ Process,SCMS-40000,Haiti,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,03-06-09,31-03-09,31-03-09,31-03-09,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,50mg,Chewable/dispersible tablet,60,80,760,9.5,0.16,"BMS Meymac, France",Yes,43,260,1.49
95,106-HT-T01,Pre-PQ Process,SCMS-40030,Haiti,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,03-06-09,15-04-09,15-04-09,15-04-09,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,46,472.88,10.28,0.17,ABBVIE Ludwigshafen Germany,Yes,10,893.22,0.93
110,104-CI-T01,Pre-PQ Process,SCMS-42210,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,3/30/2009,30-06-09,30-06-09,30-06-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,10240,420864,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,2523,14806.48,824.89
111,104-CI-T01,Pre-PQ Process,SCMS-42230,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,3/30/2009,22-07-09,22-07-09,22-07-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,400,15344,38.36,0.11,ABBVIE (Abbott) Logis. UK,Yes,175,7642.97,30.07
118,107-RW-T01,Pre-PQ Process,SCMS-43890,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,4/15/2009,25-07-09,25-07-09,25-07-09,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,55356,386384.88,6.98,0.23,Hetero Unit III Hyderabad IN,Yes,4482,37404.74,757.31
120,108-VN-T01,Pre-PQ Process,SCMS-44990,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,4/29/2009,17-07-09,17-07-09,17-07-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,8,613.76,76.72,0.23,ABBVIE (Abbott) France,Yes,48,3366.04,1.2
121,108-VN-T01,Pre-PQ Process,SCMS-45080,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/29/2009,10-07-09,10-07-09,10-07-09,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,3500,39025,11.15,0.19,"Aurobindo Unit III, India",Yes,1804,6341.88,76.49
124,108-VN-T01,Pre-PQ Process,SCMS-46550,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/27/2009,28-07-09,28-07-09,28-07-09,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,2800,7,0.12,"BMS Meymac, France",Yes,148,14.36,5.49
135,108-VN-T01,Pre-PQ Process,SCMS-169,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/15/2006,14-03-07,14-03-07,14-03-07,ARV,Adult,CIPLA LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,25100,276100,11,0.18,"Cipla, Goa, India",Yes,2575,18772.94,45.57
136,108-VN-T01,Pre-PQ Process,SCMS-170,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/15/2006,14-03-07,14-03-07,14-03-07,ARV,Adult,STRIDES ARCOLAB LIMITED,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,95500,144205,1.51,0.03,"Strides, Bangalore, India.",Yes,9170,42453.21,45.57
139,108-VN-T01,Pre-PQ Process,SCMS-262,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,01-09-07,12-05-07,12-05-07,12-05-07,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,70000,525000,7.5,0.12,"Cipla, Goa, India",Yes,6813,31858.09,45.57
143,108-VN-T01,Pre-PQ Process,SCMS-314,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,02-07-07,24-08-07,24-08-07,24-08-07,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,25000,187500,7.5,0.12,"Cipla, Goa, India",Yes,2348,21439.59,300
149,108-VN-T01,Pre-PQ Process,SCMS-749,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,07-03-07,02-10-07,02-10-07,02-10-07,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,1920,1.92,0.01,"Aurobindo Unit III, India",Yes,960,13762.41,3.07
152,108-VN-T01,Pre-PQ Process,SCMS-753,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,07-04-07,15-10-07,15-10-07,15-10-07,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,3000,40500,13.5,0.22,"Aurobindo Unit III, India",Yes,332,4454.62,64.8
153,108-VN-T01,Pre-PQ Process,SCMS-754,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,07-04-07,23-11-07,23-11-07,23-11-07,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,22500,277425,12.33,0.41,"Aurobindo Unit III, India",Yes,1955,16095.39,443.88
154,108-VN-T01,Pre-PQ Process,SCMS-757,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,07-03-07,27-08-07,27-08-07,27-08-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,500,41095,82.19,0.68,ABBVIE Ludwigshafen Germany,Yes,117,1767.38,65.75
156,107-RW-T01,Pre-PQ Process,SCMS-13900,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11-12-07,28-01-08,28-01-08,28-01-08,ARV,Adult,ASPEN PHARMACARE,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1609,27353,17,0.57,"Aspen-OSD, Port Elizabeth, SA",Yes,157,7922.24,43.76
159,108-VN-T01,Pre-PQ Process,SCMS-14170,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,11/21/2007,28-03-08,28-03-08,28-03-08,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,100,18333,183.33,0.55,ABBVIE (Abbott) Logis. UK,Yes,337,2535.4,29.33
161,107-RW-T01,Pre-PQ Process,SCMS-14750,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12-03-07,28-01-08,28-01-08,28-01-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,1099,30222.5,27.5,0.46,Mylan (formerly Matrix) Nashik,Yes,113,1511.25,48.36
162,108-VN-T01,Pre-PQ Process,SCMS-14760,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12-05-07,01-02-08,01-02-08,01-02-08,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,20mg,Capsule,60,1200,2100,1.75,0.03,"Aurobindo Unit III, India",Yes,125,2429.85,3.36
183,108-VN-T01,Pre-PQ Process,SCMS-20180,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008,07-07-08,20-06-08,20-06-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,10080,29232,2.9,0.05,"Aurobindo Unit III, India",Yes,507,4159.45,46.77
184,108-VN-T01,Pre-PQ Process,SCMS-20340,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008,01-06-08,01-06-08,01-06-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,6720,77145.6,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,522,3796.05,123.43
190,108-VN-T01,Pre-PQ Process,SCMS-23370,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/13/2008,03-10-08,03-10-08,03-10-08,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,2800,7,0.12,"BMS Meymac, France",Yes,81,3013.09,4.48
191,108-VN-T01,Pre-PQ Process,SCMS-23470,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/2008,19-08-08,19-08-08,19-08-08,ARV,Adult,STRIDES ARCOLAB LIMITED,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,10780,15631,1.45,0.02,"Strides, Bangalore, India.",Yes,502,7575.6,25.01
198,107-RW-T01,Pre-PQ Process,SCMS-25520,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,6/13/2008,23-07-08,22-07-08,22-07-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,47879,569281.31,11.89,0.2,"Aurobindo Unit III, India",Yes,5311,30408.04,910.85
199,107-RW-T01,Pre-PQ Process,SCMS-25520,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,6/13/2008,23-07-08,23-07-08,23-07-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,61021,725539.69,11.89,0.2,"Aurobindo Unit III, India",Yes,6768,38120.96,1160.86
201,108-VN-T01,Pre-PQ Process,SCMS-26190,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,07-03-08,03-10-08,03-10-08,03-10-08,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,18030,26143.5,1.45,0.02,"Aurobindo Unit III, India",Yes,1114,5822.44,41.83
210,108-VN-T01,Pre-PQ Process,SCMS-27290,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/24/2008,02-12-08,02-12-08,02-12-08,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,434,35674.8,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,113,2709.98,69.92
211,108-VN-T01,Pre-PQ Process,SCMS-27310,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008,24-11-08,24-11-08,24-11-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,1100,12540,11.4,0.19,"Aurobindo Unit III, India",Yes,159,2568.6,24.58
212,108-VN-T01,Pre-PQ Process,SCMS-27350,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008,25-11-08,25-11-08,25-11-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8400,85596,10.19,0.34,Mylan (formerly Matrix) Nashik,Yes,613,3247.73,167.77
213,108-VN-T01,Pre-PQ Process,SCMS-27380,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008,03-12-08,03-12-08,03-12-08,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,3648,26448,7.25,0.12,"Cipla, Goa, India",Yes,323,2335.19,51.84
223,108-VN-T01,Pre-PQ Process,SCMS-33070,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11-03-08,27-11-08,27-11-08,27-11-08,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,6000,17400,2.9,0.05,"Aurobindo Unit III, India",Yes,581,2653.27,34.1
232,108-VN-T01,Pre-PQ Process,SCMS-37160,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009,07-04-09,07-04-09,07-04-09,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,9000,21600,2.4,0.04,"Aurobindo Unit III, India",Yes,2228,9809.7,42.34
234,131-NG-T01,Pre-PQ Process,SCMS-37370,Nigeria,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,02-03-09,08-04-09,08-04-09,08-04-09,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,600/200/300mg,Tablet - FDC,30,25000,1260000,50.4,1.68,"MSD, Haarlem, NL",Yes,2067,7933.38,2469.6
236,106-HT-T01,Pre-PQ Process,SCMS-39970,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,03-06-09,02-04-09,02-04-09,02-04-09,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 100mg, capsules, 100 Caps",Zidovudine,Generic,100mg,Capsule,100,2100,10500,5,0.05,"Aurobindo Unit III, India",Yes,187,1903.54,20.58
247,114-UG-T01,Pre-PQ Process,SCMS-41240,Uganda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/19/2009,04-05-09,04-05-09,04-05-09,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,60,1100.4,18.34,0.61,"BMS Meymac, France",Yes,3000,428.91,2.16
