FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
16-01-23,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5762,DEN,"Denver, CO",SLC,"Salt Lake City, UT",1720,1725,5,23,1748,1902,7,1907,1909,2,0,,0,107,104,74,391,,,,,
07-01-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,397,SAT,"San Antonio, TX",DAL,"Dallas, TX",1350,1401,11,6,1407,1452,3,1455,1455,0,0,,0,65,54,45,248,,,,,
25-05-19,Republic Airline,Republic Airline: YX,YX,20452,3604,MSY,"New Orleans, LA",EWR,"Newark, NJ",1330,1416,46,11,1427,1800,9,1740,1809,29,0,,0,190,173,153,1167,0,0,13,0,16
20-11-21,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,444,SEA,"Seattle, WA",LAX,"Los Angeles, CA",930,931,1,11,942,1147,9,1220,1156,-24,0,,0,170,145,125,954,,,,,
19-02-21,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1673,CMH,"Columbus, OH",MCO,"Orlando, FL",745,740,-5,19,759,1001,10,1005,1011,6,0,,0,140,151,122,802,,,,,
07-08-20,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5437,SRQ,"Sarasota/Bradenton, FL",CLT,"Charlotte, NC",622,619,-3,19,638,757,14,813,811,-2,0,,0,111,112,79,547,,,,,
07-01-20,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,779,STL,"St. Louis, MO",SEA,"Seattle, WA",1940,1924,-16,12,1936,2201,6,2215,2207,-8,0,,0,275,283,265,1709,,,,,
27-02-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,760,MDW,"Chicago, IL",MHT,"Manchester, NH",2120,2203,43,15,2218,52,4,25,56,31,0,,0,125,113,94,838,31,0,0,0,0
27-11-19,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,121,SJU,"San Juan, PR",TPA,"Tampa, FL",1857,1856,-1,14,1910,2049,8,2110,2057,-13,0,,0,193,181,159,1237,,,,,
11-02-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1721,SFO,"San Francisco, CA",SAN,"San Diego, CA",1115,1226,71,19,1245,1348,16,1250,1404,74,0,,0,95,98,63,447,71,0,3,0,0
26-02-20,JetBlue Airways,JetBlue Airways: B6,B6,20409,965,BOS,"Boston, MA",RSW,"Fort Myers, FL",1544,1538,-6,24,1602,1942,7,1920,1949,29,0,,0,216,251,220,1249,0,0,29,0,0
14-07-22,Republic Airline,Republic Airline: YX,YX,20452,4649,DCA,"Washington, DC",CHS,"Charleston, SC",1346,1343,-3,20,1403,1523,5,1529,1528,-1,0,,0,103,105,80,444,,,,,
04-08-19,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5754,PHX,"Phoenix, AZ",ELP,"El Paso, TX",1231,1226,-5,22,1248,1439,2,1448,1441,-7,0,,0,77,75,51,347,,,,,
05-03-19,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1168,ORD,"Chicago, IL",SAN,"San Diego, CA",1320,1315,-5,12,1327,1533,5,1545,1538,-7,0,,0,265,263,246,1723,,,,,
06-04-23,JetBlue Airways,JetBlue Airways: B6,B6,20409,1248,TPA,"Tampa, FL",LGA,"New York, NY",1016,1007,-9,48,1055,1309,9,1304,1318,14,0,,0,168,191,134,1010,,,,,
03-07-20,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1710,SLC,"Salt Lake City, UT",MSP,"Minneapolis, MN",1349,1346,-3,21,1407,1707,4,1710,1711,1,0,,0,141,145,120,991,,,,,
13-05-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1232,DCA,"Washington, DC",JFK,"New York, NY",605,600,-5,11,611,657,19,720,716,-4,0,,0,75,76,46,213,,,,,
04-04-19,Republic Airline,Republic Airline: YX,YX,20452,4420,CMH,"Columbus, OH",PHL,"Philadelphia, PA",559,557,-2,14,611,722,5,735,727,-8,0,,0,96,90,71,406,,,,,
02-04-21,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,607,IND,"Indianapolis, IN",DEN,"Denver, CO",1319,1310,-9,12,1322,1339,12,1418,1351,-27,0,,0,179,161,137,977,,,,,
29-03-19,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,530,IAH,"Houston, TX",SAT,"San Antonio, TX",2000,1955,-5,17,2012,2048,3,2103,2051,-12,0,,0,63,56,36,191,,,,,
12-09-19,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,3338,LGA,"New York, NY",PWM,"Portland, ME",1755,1745,-10,24,1809,1857,3,1918,1900,-18,0,,0,83,75,48,269,,,,,
26-06-21,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,1014,SEA,"Seattle, WA",ORD,"Chicago, IL",1033,1055,22,16,1111,1652,7,1642,1659,17,0,,0,249,244,221,1721,0,0,0,0,17
30-05-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2013,TUL,"Tulsa, OK",DFW,"Dallas/Fort Worth, TX",1431,1426,-5,13,1439,1521,12,1554,1533,-21,0,,0,83,67,42,237,,,,,
11-11-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,229,PHL,"Philadelphia, PA",SAN,"San Diego, CA",1830,1848,18,21,1909,2120,3,2123,2123,0,0,,0,353,335,311,2370,,,,,
17-03-20,Envoy Air,Envoy Air: MQ,MQ,20398,3620,GRK,"Killeen, TX",DFW,"Dallas/Fort Worth, TX",1606,1658,52,32,1730,1810,20,1705,1830,85,0,,0,59,92,40,134,0,0,33,0,52
20-04-20,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,246,BNA,"Nashville, TN",ATL,"Atlanta, GA",1055,,,,,,,1300,,,1,D,0,65,,,214,,,,,
31-07-22,Envoy Air,Envoy Air: MQ,MQ,20398,3831,DFW,"Dallas/Fort Worth, TX",SBP,"San Luis Obispo, CA",1908,1918,10,17,1935,2029,5,2033,2034,1,0,,0,205,196,174,1360,,,,,
25-02-20,Republic Airline,Republic Airline: YX,YX,20452,4508,ILM,"Wilmington, NC",LGA,"New York, NY",1102,1051,-11,16,1107,1222,13,1250,1235,-15,0,,0,108,104,75,500,,,,,
20-02-19,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,59,LAX,"Los Angeles, CA",KOA,"Kona, HI",820,827,7,18,845,1156,5,1228,1201,-27,0,,0,368,334,311,2504,,,,,
16-08-20,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1298,CMH,"Columbus, OH",ATL,"Atlanta, GA",1050,1046,-4,10,1056,1202,4,1220,1206,-14,0,,0,90,80,66,447,,,,,
25-02-21,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2315,PHX,"Phoenix, AZ",DEN,"Denver, CO",2009,2004,-5,24,2028,2149,8,2211,2157,-14,0,,0,122,113,81,602,,,,,
25-10-21,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5381,CLT,"Charlotte, NC",GSP,"Greer, SC",936,926,-10,41,1007,1024,3,1029,1027,-2,0,,0,53,61,17,75,,,,,
01-02-23,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1854,DEN,"Denver, CO",LAS,"Las Vegas, NV",1420,1444,24,10,1454,1517,8,1515,1525,10,0,,0,115,101,83,628,,,,,
21-03-23,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,4953,ATL,"Atlanta, GA",VLD,"Valdosta, GA",1534,1529,-5,15,1544,1622,5,1638,1627,-11,0,,0,64,58,38,208,,,,,
08-04-19,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1977,TPA,"Tampa, FL",MIA,"Miami, FL",614,606,-8,14,620,656,4,717,700,-17,0,,0,63,54,36,204,,,,,
27-03-21,Envoy Air,Envoy Air: MQ,MQ,20398,4294,JLN,"Joplin, MO",DFW,"Dallas/Fort Worth, TX",1750,1740,-10,8,1748,1855,9,1927,1904,-23,0,,0,97,84,67,327,,,,,
02-12-21,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1218,SLC,"Salt Lake City, UT",MCI,"Kansas City, MO",2103,2100,-3,13,2113,10,5,29,15,-14,0,,0,146,135,117,920,,,,,
13-01-19,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,220,ORD,"Chicago, IL",MSP,"Minneapolis, MN",1940,1941,1,24,2005,2101,4,2109,2105,-4,0,,0,89,84,56,334,,,,,
15-03-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2535,MKE,"Milwaukee, WI",LAS,"Las Vegas, NV",1130,1129,-1,7,1136,1314,9,1330,1323,-7,0,,0,240,234,218,1524,,,,,
14-04-22,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3509,MSP,"Minneapolis, MN",MKE,"Milwaukee, WI",1944,1941,-3,29,2010,2054,5,2050,2059,9,0,,0,66,78,44,297,,,,,
25-10-21,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1376,CLT,"Charlotte, NC",EWR,"Newark, NJ",754,743,-11,29,812,929,8,945,937,-8,0,,0,111,114,77,529,,,,,
22-06-23,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1359,BNA,"Nashville, TN",MCO,"Orlando, FL",510,506,-4,15,521,744,6,800,750,-10,0,,0,110,104,83,616,,,,,
01-12-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1950,MCO,"Orlando, FL",LGA,"New York, NY",800,823,23,25,848,1048,7,1035,1055,20,0,,0,155,152,120,950,20,0,0,0,0
01-07-19,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,695,BWI,"Baltimore, MD",LAS,"Las Vegas, NV",1459,1452,-7,10,1502,1625,10,1701,1635,-26,0,,0,302,283,263,2106,,,,,
14-03-22,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3649,BIL,"Billings, MT",MSP,"Minneapolis, MN",1400,1358,-2,17,1415,1656,4,1700,1700,0,0,,0,120,122,101,748,,,,,
30-03-19,Allegiant Air,Allegiant Air: G4,G4,20368,720,BLI,"Bellingham, WA",PSP,"Palm Springs, CA",730,715,-15,8,723,941,4,1018,945,-33,0,,0,168,150,138,1078,,,,,
07-02-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2229,CHS,"Charleston, SC",ATL,"Atlanta, GA",1244,1236,-8,20,1256,1342,5,1408,1347,-21,0,,0,84,71,46,259,,,,,
05-10-19,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1911,RIC,"Richmond, VA",CLT,"Charlotte, NC",635,630,-5,13,643,731,8,810,739,-31,0,,0,95,69,48,257,,,,,
29-12-21,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1277,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",1233,1305,32,13,1318,1548,10,1540,1558,18,0,,0,127,113,90,731,0,0,0,0,18
07-06-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,833,DTW,"Detroit, MI",SAN,"San Diego, CA",830,826,-4,14,840,939,3,1017,942,-35,0,,0,287,256,239,1956,,,,,
14-10-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1640,ORD,"Chicago, IL",LAX,"Los Angeles, CA",1841,1851,10,19,1910,2100,5,2105,2105,0,0,,0,264,254,230,1744,,,,,
27-11-22,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,518,PHX,"Phoenix, AZ",OAK,"Oakland, CA",1555,1558,3,12,1610,1649,5,1655,1654,-1,0,,0,120,116,99,646,,,,,
13-05-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,867,GSO,"Greensboro/High Point, NC",ATL,"Atlanta, GA",525,520,-5,12,532,624,7,638,631,-7,0,,0,73,71,52,306,,,,,
25-01-21,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,4777,ATL,"Atlanta, GA",BHM,"Birmingham, AL",1353,1349,-4,11,1400,1333,3,1346,1336,-10,0,,0,53,47,33,134,,,,,
08-09-19,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3351,MCI,"Kansas City, MO",PDX,"Portland, OR",1515,1500,-15,33,1533,1703,7,1710,1710,0,0,,0,235,250,210,1482,,,,,
05-08-23,JetBlue Airways,JetBlue Airways: B6,B6,20409,895,EWR,"Newark, NJ",MCO,"Orlando, FL",1052,1046,-6,16,1102,1306,12,1350,1318,-32,0,,0,178,152,124,937,,,,,
10-10-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1979,PHL,"Philadelphia, PA",MCO,"Orlando, FL",700,657,-3,16,713,917,7,935,924,-11,0,,0,155,147,124,861,,,,,
16-05-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1671,LAX,"Los Angeles, CA",EWR,"Newark, NJ",1315,1311,-4,13,1324,2057,6,2134,2103,-31,0,,0,319,292,273,2454,,,,,
09-11-22,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2731,ELP,"El Paso, TX",DAL,"Dallas, TX",1255,1254,-1,15,1309,1532,4,1535,1536,1,0,,0,100,102,83,562,,,,,
16-08-19,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2248,DFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA",1054,1048,-6,34,1122,1241,7,1247,1248,1,0,,0,233,240,199,1464,,,,,
30-01-23,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,867,DFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA",1640,2023,223,82,2145,2241,7,1808,2248,280,0,,0,208,265,176,1235,0,8,57,0,215
01-10-19,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5407,LAX,"Los Angeles, CA",MFR,"Medford, OR",1855,1844,-11,14,1858,2036,5,2058,2041,-17,0,,0,123,117,98,630,,,,,
16-12-20,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2773,BNA,"Nashville, TN",DEN,"Denver, CO",1100,1107,7,15,1122,1247,6,1255,1253,-2,0,,0,175,166,145,1014,,,,,
